%
@relation Meier500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
0.37415,1.2056,-0.5021,0.1052,-0.39906,0.19591,3.6786,6.2111,-0.15258,0.18395,1.2967,3.66,-0.11024,-1.1638,2.7874,0.23229,0.68339,-1.3007,3.3658,1.8724,-0.71824,-1.2565,-0.81839,-3.7315,2.7329,1.3434,2.9617,3
7.6412,6.846,9.5114,4.9831,9.3009,5.5009,-0.14706,-0.52521,0.70186,0.0048924,-0.010791,-0.31754,-0.46981,-0.85958,1.2967,0.17647,0.57106,-1.5858,1.1066,1.0286,0.086755,-0.73973,-0.34896,-0.74374,1.1314,3.2847,4.3377,2
-0.45665,-0.6671,-0.48504,-0.66489,-0.47884,-0.67585,-0.24606,-0.60421,0.33974,0.35474,-0.12809,-0.34298,-0.80655,1.0104,-1.224,0.1752,-0.7654,0.56904,-0.7016,0.032042,1.0034,1.281,1.0413,0.95616,-0.8754,-0.50823,-0.71135,1
-0.77964,-0.69373,-0.72386,-0.68684,-0.74532,-0.69498,-1.1374,-0.88746,-1.064,-1.1907,-1.1418,-1.0947,-0.82097,2.3027,-0.82258,2.1444,-1.5027,1.3152,0.79374,1.068,1.1429,1.9548,1.5627,-0.14703,0.7533,-0.85653,-0.76385,5
0.074515,0.11394,-0.4296,0.11517,-0.35598,0.10874,0.63399,1.2,-0.10375,0.12335,0.12265,0.69376,-0.34022,-1.1456,1.7702,1.0008,0.61945,-0.4454,1.5742,1.3731,-0.013043,-1.2752,-0.76921,-1.8087,1.8761,1.2508,0.83508,3
-0.38661,-0.64048,-0.51489,-0.6609,-0.49001,-0.65671,0.29499,0.40867,-0.27057,-0.19345,-0.0011063,0.26845,-0.93079,0.72719,0.29111,1.6528,-0.43432,0.90871,1.3934,1.7894,1.4276,1.2076,0.8662,0.025667,0.61574,-0.56989,-0.68909,1
-0.8166,-0.68485,-0.7523,-0.68883,-0.77564,-0.69498,-1.1483,-0.88939,-1.1779,-1.1907,-1.1719,-1.0962,-0.70178,1.5081,-0.39737,1.6246,-1.1789,1.2186,0.88892,1.3425,0.92687,1.331,1.2928,-0.22258,0.79546,-0.63245,-0.72773,5
-0.48389,-0.58722,-0.48788,-0.52524,-0.48363,-0.53551,2.7654,3.8025,0.56759,0.52553,1.2235,2.5717,-0.59685,-0.23951,-0.010424,-0.10561,-0.25068,-0.12669,-0.38961,0.25451,0.28226,-0.38847,0.13008,0.30466,0.10959,-0.10936,-0.26107,3
-0.75434,-0.054691,-0.07563,0.82741,-0.19003,0.76574,0.52328,0.79533,-0.17699,0.043458,0.31958,0.62978,6.5952,-2.0331,1.9419,-1.3144,3.3128,-3.2033,-1.6354,-5.5364,-5.0512,-1.6687,-3.0724,-1.3305,0.43481,-0.51071,-0.34942,3
-0.81466,-0.68929,-0.75087,-0.68684,-0.77244,-0.69286,-1.1431,-0.88682,-1.1006,-1.1907,-1.1483,-1.094,-0.062888,-0.29116,-0.86251,-1.0418,-0.0054697,0.14926,-1.2506,-0.71449,-0.20909,-0.16804,0.19036,1.2752,-1.844,-0.37827,-0.37476,5
-0.67846,-0.69373,-0.68833,-0.66888,-0.69585,-0.67585,0.76249,1.1749,0.45367,0.17844,0.6973,0.95549,-0.69578,1.3972,-0.35783,1.1449,-1.16,0.37226,0.81257,1.1811,0.81141,1.1626,1.1432,0.041132,0.50647,-0.868,-0.65982,4
-0.69597,-0.68041,-0.66132,-0.68484,-0.67511,-0.69286,-1.137,-0.88618,-1.0396,-1.1824,-1.1364,-1.0933,-0.71328,0.31965,-0.70072,-0.10491,-1.1306,-0.0083683,-0.60886,0.032179,0.55319,-0.42532,0.12544,0.44091,-0.047006,-0.51618,-0.68587,5
-1.019,-0.74254,-0.89587,-0.70679,-0.93999,-0.71624,-0.8372,-0.78662,-0.89309,-0.82703,-0.85125,-0.83736,-0.28798,0.17469,-0.79518,-0.41445,-0.40507,0.039842,-0.82614,-0.14817,0.31557,0.2334,0.52782,1.0803,-1.235,-0.82602,-0.75909,1
0.34691,0.54884,0.88393,1.0509,0.79608,1.0081,0.037193,-0.32353,0.014241,-0.02541,-0.039847,-0.10088,1.3613,-1.5113,0.86643,-0.92791,1.9056,-2.2847,-1.1276,-1.3753,-2.1175,-1.0932,-1.3531,-0.52155,0.61148,-0.29719,0.26859,2
0.47338,0.35358,0.94932,0.45832,0.83757,0.48083,0.12649,-0.42373,0.65303,0.34648,0.26577,-0.041268,2.5816,-1.6708,0.098046,-2.1097,2.1371,-2.2766,-1.8185,-2.7156,-2.7343,-1.3303,-1.7056,0.43959,-0.61098,1.3519,0.30135,2
-0.67846,-0.68041,-0.65421,-0.67487,-0.66554,-0.68435,-0.25252,-0.52521,-0.42112,-0.25405,-0.26906,-0.32408,-0.2986,-0.15237,-0.64647,-0.66722,-0.12127,0.79089,-0.93666,-0.29311,0.093571,-0.047006,0.29731,1.1977,-1.5683,-0.73061,-0.54207,1
-0.5267,-0.6671,-0.53764,-0.67686,-0.53629,-0.68222,-0.36849,-0.61128,-0.091547,-0.18243,-0.28413,-0.44331,-0.70048,0.80573,-0.6681,0.43532,-0.92295,0.62562,-0.16357,0.58741,0.83368,0.67499,0.89597,1.0746,-1.171,-0.67677,-0.81272,1
-0.87497,-0.69373,-0.79494,-0.68883,-0.8251,-0.69711,-1.1463,-0.88875,-1.1372,-1.1879,-1.1622,-1.0947,-0.62515,0.58176,-0.96742,-0.17816,-0.92762,1.6984,-0.70995,-0.20112,0.48807,0.2106,0.65565,0.66481,-0.40163,-0.88364,-0.57554,5
0.14456,-0.36977,-0.31019,-0.28384,-0.2028,-0.30163,1.1257,0.3772,0.20954,0.43463,1.0137,0.94676,2.2357,-1.8424,-0.048455,-3.1386,2.1701,-1.2757,-2.1563,-3.1287,-2.8789,-1.7168,-2.059,1.0745,-1.5069,-0.46756,0.0020097,3
-0.70375,-0.67598,-0.72955,-0.67287,-0.73734,-0.67159,1.9824,2.1005,0.95005,1.1013,1.1547,1.7625,-0.25779,-0.28377,0.054322,-0.75416,-0.24997,0.78757,-0.29858,0.23332,-0.058534,-0.48328,0.022187,0.55077,-0.26656,-0.76984,-0.82588,3
-1.052,-0.72035,-0.92999,-0.69881,-0.97509,-0.70774,-1.1637,-0.88875,-1.3203,-1.1879,-1.2096,-1.0955,-0.4049,0.33677,-0.79447,-0.19806,-0.59899,0.99612,-0.70175,-0.096823,0.22661,0.24179,0.61852,0.40515,-0.049626,-0.76294,-0.70673,5
