%
@relation Huotari500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
-2.1312,-0.97141,-2.1211,-1.333,-0.95921,1.435,-1.6295,-1.0654,-2.4607,-0.38097,-0.85665,2.3294,1.4086,2.7126,-1.5975,0.54111,3.1169,1.4358,1.0513,2.4023,1.9165,-1.7401,1.6542,-1.2448,-1.05,1
-1.8364,-0.5109,-1.5437,-0.85762,-0.95054,-0.19199,-0.96629,-1.1567,-0.97739,-0.56577,1.1528,-1.2338,-1.4938,-1.4586,1.5873,-1.5674,-1.4138,-1.6578,-1.6645,-0.86114,-1.2973,0.53581,-1.0098,0.30873,-0.95847,1
-0.50247,-1.1148,-0.56223,-0.73343,-0.86793,-1.0654,-0.41836,1.7767,-1.0474,-0.95207,-1.0219,1.1442,1.2368,1.8806,-1.6353,1.2825,2.1963,1.4758,1.4078,0.34364,1.0263,-0.73049,1.2244,-0.62962,-0.71518,1
-0.061656,-0.31462,-0.036203,-0.34339,-1.5687,-1.5254,-0.91756,-1.2758,-1.3481,-1.5769,-0.8733,1.4536,-0.40428,0.072489,-1.243,0.2668,-0.068542,0.60876,0.94575,1.4302,1.3927,1.0892,-0.38961,-1.1548,0.29697,1
-0.36507,-0.31462,0.58926,0.70447,-1.0338,-0.53974,-0.047522,-1.0784,-0.50246,-0.82756,1.3431,-1.8763,0.057296,-1.4791,2.0457,-1.5396,-1.3637,-1.6537,-1.7936,-1.9685,-2.1785,-0.96033,-0.087958,0.076603,0.06181,2
-0.81734,-0.96386,-0.77393,-0.90031,-0.45705,-0.89946,-0.31733,-0.70153,-0.2805,-0.65194,-0.8487,0.5939,-0.031892,-0.082383,-1.1012,0.25283,-0.1657,0.53686,0.77004,0.12338,0.7779,0.85263,-0.19537,0.15907,-1.1177,1
-0.92324,1.5651,-0.36176,0.4852,-0.40046,-0.41118,-0.96748,-0.9071,-0.32068,-0.32855,-0.90482,1.1645,0.29242,0.50938,-1.0829,0.26759,0.46281,0.79615,1.0146,1.1255,1.3038,0.31601,0.36582,0.78867,1.6619,2
1.4383,0.77624,0.66464,-0.13382,0.22291,-0.23018,3.8201,8.5033,0.73221,-0.011709,-0.64953,-0.59229,1.187,-0.07032,0.023339,0.90147,0.23261,0.77564,0.32556,-0.77615,-0.40098,-1.5904,1.3355,-1.3432,-0.8942,1
-0.66849,-0.6015,-0.75468,-0.80329,1.3974,2.1077,-0.53127,-0.0081509,0.46611,1.7412,-0.88057,-0.454,1.4414,0.70354,-0.23243,1.5873,1.0612,1.2087,0.86742,-0.77639,-0.079565,-1.3896,1.4067,-1.3118,-1.0557,1
0.47362,-0.12967,2.4929,3.262,0.91523,0.91226,-0.27335,-0.46497,1.0397,1.0689,-0.9669,0.96372,0.43414,0.54666,-1.3255,0.31314,0.52242,0.82406,1.0349,0.46496,1.0599,0.30805,0.37777,1.1831,4.7405,2
