@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 23'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.006207,0.005578,0.007279,0.007828,0.007479,0.009151,0.005741,0.005661,0.002233,0.002466,0.007828,6.09498,6.303561,0.000646,0.005661,6.511844,0.006699,0.000436,0.013962,1.06276,0.912428,0.005341,0.013962,6
0.006124,0.005565,0.007462,0.007599,0.007448,0.009269,0.005671,0.005402,0.002471,0.002593,0.007599,5.131789,5.293347,0.000597,0.005325,5.47248,0.005768,0.000372,0.015717,1.232349,1.041108,0.005289,0.015717,6
0.007474,0.006765,0.008469,0.008545,0.008241,0.009849,0.006809,0.005859,0.001588,0.002038,0.008545,8.360136,8.582524,0.001009,0.005859,8.784493,0.007843,0.000922,0.012634,1.292775,1.053819,0.006306,0.012634,5
0.007912,0.007267,0.008942,0.009461,0.008923,0.010255,0.007432,0.006653,0.001482,0.001919,0.009461,8.437,8.659427,0.00077,0.006653,8.878927,0.008606,0.000571,0.01297,1.491753,1.171038,0.007037,0.01297,5
0.004981,0.004899,0.00528,0.00528,0.004947,0.004989,0.004905,0.0047,0.000092,0.000118,0.005264,9.552331,9.606371,0.000144,0.004623,9.651996,0.005158,0.000127,0.005341,1.340169,1.065934,0.004838,0.005341,9
0.005557,0.005291,0.00618,0.00621,0.005848,0.00631,0.005293,0.005188,0.000608,0.000706,0.00621,6.419732,6.545366,0.000302,0.005188,6.66424,0.00557,0.000242,0.008286,1.319799,1.094698,0.005076,0.008286,7
0.007033,0.006378,0.008408,0.008408,0.008052,0.009568,0.006437,0.005905,0.001987,0.002207,0.008408,5.80553,5.954916,0.000731,0.005905,6.109117,0.006958,0.000559,0.015351,1.392386,1.216739,0.00595,0.015351,6
0.011123,0.008753,0.013016,0.013016,0.009756,0.011217,0.009275,0.0094,0.000705,0.001949,0.013016,10.542986,10.790237,0.002662,0.0094,10.946058,0.012863,0.001893,0.013062,1.374472,1.234623,0.008085,0.013062,8
0.00847,0.008416,0.009293,0.0103,0.008612,0.008786,0.008211,0.007279,0.000857,0.00089,0.010056,8.794129,8.845983,0.000872,0.007279,8.873722,0.010056,0.000855,0.01178,1.899809,1.456779,0.00805,0.01178,3
0.008124,0.007838,0.009613,0.009842,0.00841,0.008897,0.00773,0.007172,0.001275,0.001196,0.009842,5.768683,5.821689,0.000802,0.007172,5.875087,0.009842,0.000726,0.014008,1.909834,1.568017,0.007431,0.014008,3
0.007808,0.007069,0.008484,0.008667,0.008261,0.009689,0.007049,0.007034,0.00165,0.00179,0.008667,5.402118,5.563869,0.000783,0.007034,5.721684,0.007706,0.000539,0.015091,1.347494,1.124392,0.006478,0.015091,6
0.009559,0.008154,0.010544,0.010651,0.010667,0.013662,0.0081,0.008362,0.003625,0.003848,0.010651,5.955528,6.137001,0.001505,0.008362,6.305937,0.008911,0.001224,0.02266,1.490684,1.414664,0.007032,0.02266,5
0.008091,0.007333,0.008865,0.008865,0.008994,0.010851,0.007307,0.007462,0.002552,0.002547,0.008865,5.117826,5.273736,0.0008,0.007462,5.409519,0.007507,0.000535,0.019455,1.430381,1.205554,0.006715,0.019455,6
0.0075,0.007391,0.008225,0.00882,0.00705,0.006725,0.007347,0.006378,0.00046,0.000663,0.00882,9.471125,9.425947,0.000692,0.005936,9.331277,0.00882,0.000655,0.008225,1.505547,1.07248,0.007273,0.00882,1
0.0068,0.006423,0.007462,0.007568,0.007581,0.008642,0.006449,0.006134,0.002192,0.001969,0.007568,4.42921,4.53487,0.000454,0.006104,4.640862,0.006851,0.00039,0.016464,1.469322,1.183154,0.006174,0.016464,6
0.008419,0.008777,0.009461,0.011109,0.008895,0.008976,0.008613,0.007797,0.000994,0.000846,0.011017,6.972824,6.971982,0.000766,0.007736,6.979208,0.011017,0.00064,0.012512,1.904677,1.321752,0.008777,0.012512,3
0.008419,0.008777,0.009461,0.011109,0.008895,0.008976,0.008613,0.007797,0.000994,0.000846,0.011017,6.972824,6.971982,0.000766,0.007736,6.979208,0.011017,0.00064,0.012512,1.904677,1.321752,0.008777,0.012512,3
0.00994,0.00986,0.011688,0.012757,0.009831,0.009808,0.009497,0.008347,0.000765,0.001053,0.012253,9.833102,9.882168,0.001278,0.008347,9.886349,0.012253,0.001248,0.012802,2.147845,1.679789,0.009218,0.012802,3
0.018671,0.014805,0.022202,0.023972,0.015648,0.017375,0.014452,0.015808,0.001539,0.003957,0.023148,9.330962,9.537664,0.00506,0.014282,9.66908,0.023148,0.004604,0.022202,2.072343,2.072465,0.011842,0.023972,8
0.009672,0.010257,0.012024,0.016785,0.00938,0.008412,0.009997,0.007767,0.000975,0.001414,0.016785,5.049887,4.939855,0.001653,0.006867,4.823514,0.016785,0.001119,0.012024,2.307973,1.711955,0.01035,0.016785,1
0.007995,0.008134,0.008759,0.009201,0.007689,0.007305,0.008087,0.007279,0.000366,0.000578,0.009049,7.579193,7.443229,0.000434,0.006592,7.306224,0.009049,0.000426,0.008759,2.006683,1.447044,0.008191,0.009201,1
0.010026,0.009855,0.011536,0.012329,0.010126,0.01044,0.00968,0.008652,0.001286,0.001216,0.012329,7.563744,7.617109,0.001145,0.008652,7.641658,0.012329,0.001041,0.014817,2.006622,1.483802,0.009465,0.014817,3
0.013254,0.012064,0.015442,0.015534,0.012532,0.013036,0.011869,0.010407,0.001276,0.001793,0.015442,10.974054,11.089282,0.002193,0.010407,11.166226,0.014115,0.002069,0.016144,2.656672,2.385687,0.010888,0.016144,3
0.00789,0.008043,0.011505,0.012757,0.007317,0.006911,0.008131,0.006287,0.000736,0.000936,0.012757,4.245583,4.14031,0.001257,0.005875,4.04579,0.012757,0.000848,0.011505,2.176165,1.585946,0.008306,0.012757,1
0.009995,0.00957,0.011429,0.012284,0.009867,0.010192,0.009289,0.008743,0.000915,0.001209,0.011597,10.438412,10.484074,0.001402,0.008408,10.514304,0.011597,0.001332,0.012665,2.094057,1.739132,0.008799,0.012665,3
0.010002,0.009363,0.011002,0.011398,0.009999,0.010584,0.00923,0.008713,0.001069,0.00125,0.010986,9.140548,9.248572,0.001268,0.008637,9.332083,0.010986,0.001062,0.013962,2.140749,1.830335,0.008667,0.013962,3
0.010149,0.009974,0.011597,0.011704,0.010673,0.011285,0.009719,0.009094,0.001069,0.00113,0.011414,9.098518,9.188274,0.000812,0.009064,9.255096,0.011231,0.000686,0.014176,2.315984,1.847028,0.009415,0.014176,4
0.011999,0.01132,0.016846,0.018143,0.010511,0.009911,0.011764,0.007492,0.001751,0.002429,0.018143,6.675696,6.605403,0.002745,0.007492,6.536995,0.018143,0.002861,0.016846,2.542046,1.859846,0.011661,0.018143,1
0.009694,0.009306,0.011246,0.011704,0.009739,0.010151,0.009095,0.008423,0.001049,0.001108,0.011368,8.443055,8.537649,0.001055,0.008362,8.594417,0.011368,0.000965,0.013443,2.088487,1.71577,0.008666,0.013443,3
0.00647,0.006133,0.00708,0.007248,0.006894,0.007548,0.006101,0.005951,0.000978,0.001057,0.007187,6.212384,6.330749,0.000485,0.005951,6.443656,0.006912,0.000408,0.011109,1.501198,1.2551,0.005819,0.011109,6
0.007272,0.006598,0.008133,0.008255,0.007979,0.009211,0.00661,0.006271,0.001662,0.00184,0.008255,5.422178,5.562752,0.000697,0.006271,5.693859,0.006836,0.000529,0.015045,1.557946,1.396216,0.006086,0.015045,6
0.006661,0.006354,0.007324,0.007736,0.007412,0.008303,0.006397,0.00589,0.001584,0.001558,0.007324,5.102041,5.206385,0.000465,0.00589,5.313708,0.007263,0.000423,0.013718,1.548089,1.258839,0.006168,0.013718,6
0.006978,0.0065,0.007935,0.008042,0.007765,0.009038,0.006513,0.006287,0.001939,0.001942,0.008042,4.807056,4.903907,0.000725,0.006287,5.008204,0.007675,0.000634,0.015961,1.406943,1.151415,0.006144,0.015961,6
0.007049,0.006595,0.008484,0.008576,0.008302,0.009861,0.006568,0.00557,0.002687,0.002594,0.008576,5.315369,5.452316,0.000833,0.005509,5.590603,0.007446,0.000652,0.017456,1.471794,1.226597,0.006184,0.017456,6
