%
@relation HK2_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
-0.9174,-1.0465,-1.1037,-1.4083,0.83124,1.341,0.67184,0.32845,0.79734,1.0015,-0.76942,0.67823,0.26645,-0.17671,-0.06278,0.49264,-0.046622,0.64377,0.94401,0.4384,0.82326,0.39148,0.25764,-0.8927,-1.1245,WildType
-0.4023,-0.57639,-0.10669,0.60514,0.47284,-0.040382,0.93023,0.36247,0.51209,0.062811,-0.87581,-0.52098,0.95035,1.595,0.57581,0.35409,1.6712,1.2116,0.9584,-0.65132,-0.1871,-1.1,0.94564,-0.065716,0.91218,HitMain2
-0.31679,-0.5572,-0.11344,-0.00085645,1.5223,1.1764,0.87281,0.49855,1.5671,1.5145,0.79591,-1.0598,0.9831,0.62807,1.3084,0.088686,0.83191,0.5955,0.12906,-0.7288,-0.53622,-1.5995,0.97196,1.0658,0.62066,WildType
-0.39367,-0.071997,-0.10669,0.43572,1.6942,1.3125,0.95231,0.32845,1.9084,1.7078,-0.46366,-0.33537,0.83763,1.1299,0.56714,0.044809,1.1711,1.0007,0.77992,-0.29546,0.11891,-0.86699,0.84369,0.32406,-1.3801,HitMain2
-0.97948,-1.2137,-1.2016,-1.5582,0.61981,1.4405,0.27432,-0.80552,0.37924,0.90668,-0.5278,0.69615,0.033327,-0.35757,-0.011625,0.29675,-0.39819,0.40157,0.7878,0.58471,0.89188,0.70318,0.0059492,-1.3214,-0.59319,NO_TET
-0.7764,-0.66411,-0.21601,1.6425,1.0831,1.4547,0.40903,-0.27255,0.85726,1.3137,-0.0064135,-0.78041,0.93057,0.90838,0.98976,-0.23539,1.0132,0.8752,0.46241,-0.55055,-0.232,-1.363,0.95916,0.5933,1.2824,HitMain2
-0.68801,-0.95879,-0.47223,-0.12987,0.43502,0.13432,0.43774,-0.39729,0.54856,0.28214,-0.83557,-0.6777,1.0648,2.4808,0.70112,1.1417,2.4978,1.2864,0.9146,-0.76575,-0.32625,-1.4073,1.0284,0.30309,-1.2946,HitMain1
-1.1012,-1.4303,-1.3422,-1.7367,-0.24656,-0.73106,0.65859,-0.15916,0.019745,-0.71786,-0.49374,4.322,-3.3335,-1.3042,-1.1891,0.92161,-1.6603,-0.67946,0.7547,3.5845,2.56,2.6046,-3.0086,-1.3554,-1.2058,NO_TET
-1.0897,-1.4111,-1.3224,-1.7159,2.4419,6.4114,0.57909,0.26041,1.4095,4.1595,-1.0263,5.9776,-3.1136,-0.78692,-1.4783,0.83998,-1.3675,-0.28841,1.2648,5.0691,3.1621,2.5191,-2.6003,-1.2702,-1.0741,NO_TET
1.5381,0.043135,1.3762,-0.68765,0.90688,0.024624,0.8441,0.48721,1.1438,0.56281,-0.21159,-0.29622,0.28587,-0.67252,0.54909,0.43442,-0.62976,0.35479,0.41145,-0.24811,0.15789,0.14861,0.30022,-0.12013,-1.0318,WildType
2.2686,3.1887,2.3918,2.1742,2.2013,3.9717,0.77122,1.5758,1.2376,2.8807,3.3217,-1.503,1.0434,-0.15602,1.7158,0.54508,0.046145,-0.32118,-0.93758,-1.2696,-1.2375,-2.0247,0.91209,1.2468,0.85541,Mitotic
2.2509,0.92308,1.7134,0.4279,0.70232,-0.18258,0.8176,1.6212,0.77781,0.34348,0.10351,0.37515,-0.30217,-1.1053,0.43137,-0.56643,-1.0024,0.039677,0.29616,0.87761,0.74231,0.76213,-0.12843,-0.78519,0.92993,WildType
1.5229,3.9001,2.3128,3.4618,0.7917,1.8184,0.80876,1.8593,0.94453,1.2301,0.15275,-0.78833,0.97244,-0.065973,0.71294,1.1106,0.4255,0.80289,0.15228,-0.9719,-0.55956,-1.7371,1.0385,1.8242,-1.3202,Mitotic
1.7995,5.3296,2.9211,4.9631,1.2713,1.341,0.63871,0.96347,1.0943,1.416,1.6921,-1.3792,0.79518,-0.89723,1.3978,1.0048,-0.76921,0.075999,-0.52993,-1.3136,-1.1111,-1.4711,0.82927,2.7576,2.0318,Mitotic
-0.19799,-0.893,-0.64023,-0.92875,0.28375,-0.53808,1.1091,4.2973,0.59024,-0.18812,0.58755,-0.36376,0.52815,-0.13643,0.65572,-0.92041,-0.17705,0.24809,0.15708,-0.20548,0.15521,-0.24513,0.4555,-1.0728,-1.2917,NO_TET
0.5165,-0.89437,0.6607,-0.35403,0.8321,-0.21102,0.61,0.55524,0.95755,0.50891,-0.57878,-0.70612,0.88612,0.72676,0.76455,0.46364,0.86262,1.0068,0.72823,-0.72577,-0.30299,-1.0494,0.89131,-0.66522,0.0082533,HitMain1
1.1886,0.43925,1.1394,-0.29929,-0.038559,-0.85092,0.69834,0.47587,0.11222,-0.56358,-0.26368,0.052366,0.095878,-0.87664,0.29873,1.7747,-0.70836,0.30772,0.50111,-0.013255,0.41719,0.51538,0.10368,-1.3488,0.16848,WildType
-0.45739,-0.82173,-0.70945,-1.2376,0.047389,-0.044445,0.46425,-0.49935,0.047097,-0.18998,-0.734,0.55104,0.19615,-0.15336,0.14688,0.31857,-0.15129,0.59246,0.91724,0.64289,0.88523,0.34823,0.26832,-1.1778,-0.85841,WildType
-0.052047,-0.16246,-0.41947,-0.56254,1.2395,1.2841,0.68509,0.10166,1.2545,1.3528,0.46027,0.38811,0.66358,0.99895,0.40594,-0.92003,1.1946,0.46997,0.472,0.83739,0.87435,-0.40514,0.59759,-0.30529,-1.1721,WildType
2.5177,2.2663,1.4441,2.3801,0.58113,0.13026,0.67405,-0.079779,0.77911,0.34162,1.9335,-0.56451,0.88031,1.0593,1.0991,-1.1866,0.92986,0.096964,-0.24269,0.048644,0.03266,-1.2334,0.80596,0.023841,-0.0070897,WildType
2.0264,3.1778,1.808,2.2237,1.5137,1.6132,0.62546,0.16969,1.1269,1.6558,0.99823,-0.99333,1.0219,1.2172,1.1655,-0.94547,1.202,0.45887,0.021812,-0.76246,-0.48121,-1.6796,0.9879,0.85101,-0.53204,WildType
0.60447,-0.021284,0.65944,-0.18852,-0.19413,-1.1699,0.94127,1.0882,0.10441,-0.86842,1.4454,-0.14401,0.29045,-0.43718,0.62582,0.91973,-0.55342,0.067598,0.026601,0.18528,0.42046,0.10102,0.29922,0.98459,1.9014,WildType
-0.58688,-0.14738,-0.55539,-0.14812,-0.41158,-0.90577,0.52387,2.7438,-0.32021,-0.82938,1.2894,-0.72511,0.92451,-0.65229,1.0189,-1.0195,-0.069,0.23412,-0.50416,-0.39533,-0.13975,-1.7666,0.95869,1.2053,-0.95047,HitMain2
-0.043003,0.32274,0.2787,0.68594,0.23991,0.012435,0.89931,0.86142,0.42092,-0.080311,0.41501,-1.1294,0.91065,0.068085,1.1959,0.65059,0.23063,0.65874,0.18998,-1.0124,-0.71361,-1.3808,0.91537,0.16762,-0.016296,Garbage
-0.033959,0.092478,0.20356,0.40444,1.108,1.2069,0.70718,0.16969,0.71268,1.061,1.3753,-0.64736,0.59757,-0.32422,0.93101,0.23491,-0.27511,0.17485,-0.088207,-0.35882,-0.066149,-0.53291,0.57165,-0.77707,1.6074,WildType
0.15144,0.24188,0.36861,0.39141,1.0547,0.40856,1.0605,0.96347,0.95104,0.70779,-0.39995,-0.088211,0.68324,0.47522,0.38526,0.099156,0.68533,0.83606,0.71568,-0.1263,0.31098,-0.54759,0.71308,1.6844,1.1114,WildType
1.2581,0.65718,1.2386,-0.043863,1.5489,0.7275,1.0252,0.95213,1.7247,1.3453,0.85806,-0.90093,0.71972,-0.38239,1.0452,0.050737,-0.21789,0.313,0.0023595,-0.72553,-0.39301,-0.76874,0.66257,1.9544,0.80215,WildType
1.3687,1.5536,1.301,0.50479,0.049108,-0.47511,0.48191,0.033618,0.015837,-0.32566,2.308,-1.3613,0.38884,-1.5496,1.3811,0.51963,-1.3768,-0.56735,-1.004,-1.2933,-1.0812,-0.53648,0.3473,1.8331,0.48915,WildType
0.30519,0.57494,0.50326,0.45527,2.2219,1.792,0.9214,0.96347,2.079,2.3584,-0.23234,-0.62616,0.83764,0.48992,0.74936,-0.18102,0.69635,0.86682,0.56592,-0.58645,-0.17286,-0.94877,0.83605,-0.62724,3.6371,WildType
-0.82655,-0.54486,-0.71536,-0.098598,0.71865,1.536,0.32732,0.20371,0.43134,1.0294,-0.60445,-0.73922,1.0699,1.7595,0.62075,0.78775,1.4618,1.1982,0.51911,-1.0167,-0.60452,-1.7316,1.0907,-0.96298,-1.0283,HitMain1
-0.43601,-0.47359,0.081152,1.2216,2.0955,1.8062,0.61442,1.0429,2.0347,2.3788,-0.15875,-0.26636,0.74658,0.69332,0.65302,-0.45754,0.7766,0.78572,0.61934,-0.014851,0.25952,-0.73811,0.76353,3.3219,-0.21291,HitMain2
-0.85368,-0.81488,-0.65711,0.036937,0.026762,-0.45276,0.3207,-0.44265,0.18516,-0.25317,-0.079321,-0.53309,0.85267,0.92978,0.81773,0.03928,0.88286,0.89456,0.56585,-0.29251,0.01732,-0.99757,0.86877,0.11226,2.5957,HitMain2
-0.41463,-0.50237,-0.53175,-0.98739,-1.1585,-1.5172,0.082183,-1.2364,-0.82038,-1.6398,-0.28392,-0.39156,0.46249,-0.50692,0.61358,0.52617,-0.35018,0.53232,0.51241,-0.33024,0.085485,-0.13317,0.47892,0.24981,-0.53884,WildType
-1.0403,-1.2973,-1.2641,-1.6351,0.26828,-0.24962,0.27432,-0.31791,0.33104,0.059094,-0.71991,3.0379,-1.498,-0.68777,-0.79898,0.33581,-1.0423,-0.033407,1.0395,2.7109,2.1692,2.0419,-1.4505,-1.0491,-1.414,NO_TET
-1.0247,-1.4275,-1.2628,-1.7341,0.7599,-0.042413,0.66963,0.7707,0.65667,0.44757,-0.95768,6.5199,-3.5139,-0.83135,-1.495,0.45127,-1.4669,-0.4059,1.2613,5.9079,3.369,2.5904,-2.9027,-1.1428,-1.1135,NO_TET
-0.81586,-0.69289,-0.56932,0.5478,-0.17952,-0.31869,0.088809,-0.95294,-0.24467,-0.3647,0.27343,-0.11394,0.74877,0.92276,0.54244,-0.48555,1.0003,0.68695,0.4998,0.10165,0.41181,-0.71139,0.73007,2.0708,-0.1134,HitMain2
-0.91288,-0.9958,-0.8593,-0.51693,-0.24999,-0.62746,0.20365,-0.98696,-0.13265,-0.54685,0.25387,0.38408,0.56279,0.78123,0.39015,-0.24137,0.7558,0.67108,0.59821,0.80086,0.8632,-0.41977,0.63677,-1.2698,-0.68394,HitMain2
-0.70857,-0.95194,-0.56974,-0.18461,0.038794,-0.087104,0.27653,-0.81686,0.082265,-0.12492,-0.46902,0.091158,0.7207,1.0684,0.46276,-0.17035,1.1332,0.95641,0.89246,0.36431,0.58984,-0.60513,0.75354,-1.1693,0.5834,HitMain2
0.47128,-0.058291,0.27659,-0.61988,-0.3093,-1.0967,0.51062,-0.04576,-0.15479,-0.84054,-1.0769,0.6834,0.53971,1.0413,0.16026,0.51831,0.92132,1.0613,1.2873,0.91978,1.0157,-0.034635,0.56268,-0.91839,0.243,WildType
0.81413,0.47899,0.62947,-0.32275,0.14537,-0.40604,0.82201,-0.12514,0.4639,-0.29964,0.47121,-0.81712,0.6357,-0.4266,0.91733,1.2323,-0.35913,0.37232,0.131,-0.72845,-0.34941,-0.55687,0.618,0.46539,0.20684,WildType
0.90334,-0.041844,0.65522,-0.63161,-0.50784,-1.2978,0.91919,-0.12514,-0.097481,-1.2364,-0.32266,-0.3153,0.59695,0.10782,0.57478,0.29872,0.0789,0.67151,0.62876,-0.24267,0.15677,-0.3311,0.60464,-0.22291,0.98802,WildType
0.83304,0.96831,0.66408,0.023905,-0.017072,-0.26993,0.54596,-0.44265,0.21903,-0.3108,0.46523,-1.06,0.68197,-0.61888,1.1253,0.08339,-0.53368,0.23411,-0.10744,-0.9543,-0.63069,-0.814,0.6805,0.43629,0.078831,WildType
