@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute class {1 2 3 4 }
@data
0.004884,0.000380,0.004586,0.000309,0.004662,0.000358,0.008940,0.000916,0.006873,0.001399,0.007381,0.001615,0.004223,0.000413,0.003585,0.000577,0.003745,0.000619,0.129274,1.237437,0.618444,1.561166,0.673756,5.634422,5.149016,1.966748,2.588896,0.686187,1.057233,-0.172712,0.622413,0.019210,0.019561,0.062429,1.645729,0.512624,1.788692,0.583452,7.281407,5.094177,2.207698,3.099941,0.719685,1.164940,-0.126407,0.588942,0.020638,0.011824,4
0.007072,0.001439,0.005435,0.000419,0.006269,0.001357,0.014199,0.003238,0.005359,0.001268,0.009787,0.005153,0.014797,0.006241,0.004415,0.001465,0.009674,0.006985,0.300406,0.533486,0.514412,0.549319,0.857655,3.090563,1.663792,1.340017,1.562415,0.430832,0.708253,-0.271758,0.623065,0.082339,0.057777,0.137345,0.889650,0.604422,1.133603,0.752123,4.901827,3.607561,1.926632,2.376763,0.578466,0.950071,-0.229749,0.679357,0.381288,0.130050,3
0.007091,0.001785,0.005344,0.000372,0.006164,0.001538,0.018346,0.005750,0.005599,0.001470,0.011491,0.007674,0.012439,0.007213,0.003596,0.000749,0.007752,0.006701,0.302152,0.649324,0.602574,0.816911,0.838516,3.206035,2.618320,1.465565,1.762615,0.509770,0.793454,-0.308387,0.688556,0.073988,0.108396,0.198403,0.994797,0.596348,1.232246,0.791761,3.926119,3.934188,1.772591,2.168560,0.740093,0.948356,-0.292665,0.724245,0.054626,0.109884,3
0.005914,0.001059,0.005318,0.000523,0.005591,0.000877,0.013278,0.002757,0.005402,0.001348,0.008993,0.004571,0.017499,0.009257,0.004319,0.002245,0.010432,0.009354,0.695672,0.466089,0.416334,0.388907,0.914409,2.336219,1.129381,0.672838,0.811689,0.420480,0.541040,-0.154460,0.367274,0.006424,0.019911,0.122948,1.093795,0.681212,1.679340,0.770794,5.137085,5.728682,2.090166,2.512882,0.788351,0.968677,-0.323015,0.788020,0.274969,0.283787,2
0.006696,0.000545,0.005967,0.000613,0.006251,0.000696,0.014926,0.003767,0.006009,0.001443,0.009702,0.005260,0.016850,0.008191,0.005649,0.002051,0.010336,0.007943,0.162793,1.192018,0.274302,0.836487,0.702018,4.241717,2.088410,1.687080,2.269433,0.721430,1.047229,-0.060756,0.365625,0.037424,0.089452,0.110471,1.429970,0.549300,1.579375,0.707772,5.033886,4.915267,2.069721,2.681090,0.919305,1.129796,-0.197579,0.667026,0.399208,0.819608,3
0.010990,0.004145,0.005621,0.000731,0.008546,0.004153,0.019003,0.005079,0.006177,0.002491,0.013040,0.007769,0.019597,0.010095,0.006001,0.004599,0.013166,0.010570,0.143460,1.416029,0.478321,1.355353,0.709772,4.137825,4.012653,1.882999,2.480466,0.915467,1.127008,-0.211933,0.666844,0.198709,0.166558,0.064088,2.783563,0.403731,2.353899,0.629970,5.721797,6.548943,2.266115,3.178897,1.725574,1.365175,-0.145478,0.627783,0.774139,0.408137,3
0.005717,0.000462,0.005206,0.000387,0.005468,0.000500,0.019336,0.004987,0.006523,0.002701,0.013194,0.007747,0.018920,0.005919,0.005126,0.002530,0.012382,0.008439,0.078395,1.285377,0.574842,1.490894,0.655659,5.663915,4.754971,2.143659,2.878100,0.670411,1.104486,-0.162333,0.632340,0.019997,0.035396,0.110074,0.686321,0.786084,1.649640,0.756789,7.612028,5.719761,2.129370,2.605161,0.417097,0.893405,-0.312005,0.786635,0.044272,0.093536,2
0.006555,0.001239,0.004949,0.000272,0.005675,0.001188,0.019373,0.006200,0.005374,0.001536,0.011678,0.008342,0.010996,0.006410,0.003225,0.000683,0.006766,0.005886,0.130851,1.054217,0.608639,1.333214,0.742478,4.283132,4.330679,1.949756,2.479128,0.694217,1.021144,-0.249335,0.711946,0.077823,0.140023,0.195214,1.062048,0.486492,1.034663,0.763640,3.613855,3.074386,1.701354,2.180894,0.746150,0.997755,-0.199972,0.619776,0.513734,0.806771,3
0.005703,0.000462,0.005321,0.000572,0.005501,0.000555,0.015959,0.003595,0.005837,0.001511,0.010642,0.005848,0.021555,0.007736,0.005516,0.002264,0.013161,0.009917,0.123846,0.777579,0.627783,0.975596,0.746613,5.451094,3.298970,1.976593,2.452910,0.475300,0.916460,-0.241913,0.703597,0.014135,0.022302,0.120020,1.227334,0.548026,1.426539,0.718082,6.169719,4.182004,2.023855,2.592775,0.784476,1.062759,-0.182747,0.640058,0.123779,0.162901,2
0.010990,0.004145,0.005621,0.000731,0.008546,0.004153,0.019003,0.005079,0.006177,0.002491,0.013040,0.007769,0.019597,0.010095,0.006001,0.004599,0.013166,0.010570,0.143460,1.416029,0.478321,1.355353,0.709772,4.137825,4.012653,1.882999,2.480466,0.915467,1.127008,-0.211933,0.666844,0.198709,0.166558,0.064088,2.783563,0.403731,2.353899,0.629970,5.721797,6.548943,2.266115,3.178897,1.725574,1.365175,-0.145478,0.627783,0.774139,0.408137,3
